City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Latur,18.4,76.58,69.85,53,99,3.09,IN,1611975982
Boyolangu,-8.12,111.89,80.2,79,100,4.63,ID,1611975982
Lipin Bor,60.26,37.98,18.91,97,90,10.67,RU,1611975983
Pozo Colorado,-23.49,-58.8,79.29,76,89,9.06,PY,1611975984
Kodra,50.59,29.56,19.99,86,48,8.95,UA,1611975984
Alice Springs,-23.7,133.88,93.99,38,66,14.97,AU,1611975978
Semey,50.41,80.23,-0.4,92,11,6.71,KZ,1611975985
Dalby,-27.18,151.27,89.01,29,69,3,AU,1611975985
Ljungby,56.83,13.94,14,92,0,5.75,SE,1611975985
Pauini,-7.71,-66.98,73.89,97,100,0.89,BR,1611975986
Stornoway,58.21,-6.39,37.4,75,84,8.05,GB,1611975986
Athabasca,54.72,-113.29,-7.6,84,0,1.14,CA,1611975986
Lakselv,70.05,24.97,5,85,90,1.14,NO,1611975987
New Waterford,40.85,-80.61,17.6,73,1,4.61,US,1611975987
Harper,4.38,-7.72,77.83,87,0,5.55,LR,1611975988
Pangnirtung,66.15,-65.71,-9.4,77,1,5.75,CA,1611975989
Dzaoudzi,-12.79,45.27,78.8,89,20,3.44,YT,1611975989
Wanning,18.8,110.4,71.31,78,71,11.88,CN,1611975989
Port Macquarie,-31.43,152.92,82,70,94,1.01,AU,1611975947
Rome,43.21,-75.46,8.6,66,90,4.61,US,1611975990
Verkhniye Sergi,56.65,59.56,19.98,93,100,4.56,RU,1611975990
Biankouma,7.74,-7.61,68.49,84,9,2.35,CI,1611975990
Pitimbu,-7.47,-34.81,80.6,78,75,9.22,BR,1611975991
Lixouri,38.2,20.43,59.27,80,100,15.37,GR,1611975991
Mandan,46.83,-100.89,23,100,90,9.22,US,1611975991
Grand-Lahou,5.14,-5.02,78.26,88,18,6.11,CI,1611975992
Cowansville,45.2,-72.75,1.4,84,100,2.3,CA,1611975992
Chakradharpur,22.7,85.63,59,88,0,2.84,IN,1611975993
Alihe,50.57,123.72,-12.75,80,91,1.14,CN,1611975993
Indianola,41.36,-93.56,32,80,100,13.18,US,1611975994
Key West,24.56,-81.78,66.2,68,1,8.05,US,1611975914
Algiers,36.75,3.04,48.2,93,0,1.14,DZ,1611975856
Taman',45.21,36.72,44.6,65,100,22.37,RU,1611975995
Kibuye,-2.06,29.35,63.81,76,68,1.7,RW,1611975995
Atambua,-9.11,124.89,77.34,86,100,9.95,ID,1611975996
Erenhot,43.65,111.98,19.2,90,0,19.86,CN,1611975996
Vanimo,-2.67,141.3,84.36,74,100,11.36,PG,1611975996
Gamba,-2.65,10,77.58,87,100,6.8,GA,1611975997
Antropovo,58.4,43.01,23.77,98,100,9.46,RU,1611975997
Kuznechnoye,61.12,29.87,30.99,94,97,1.01,RU,1611975997
Jiwani,25.05,61.74,67.59,56,0,5.86,PK,1611975998
Ambunti,-4.24,142.84,88.03,64,100,4.88,PG,1611975998
Johnson City,36.31,-82.35,27,86,20,2.57,US,1611975998
Dongsheng,39.82,109.98,25.61,76,0,20.07,CN,1611975999
Selma,36.57,-119.61,50,100,1,1.81,US,1611975999
Bangkalan,-7.05,112.74,82.4,78,75,13.8,ID,1611975999
Loučovice,48.62,14.26,39.99,50,100,21,CZ,1611976000
Motala,58.54,15.04,15.8,86,98,5.75,SE,1611976000
Henties Bay,-22.12,14.28,66.99,81,30,5.61,NA,1611976001
Merauke,-8.47,140.33,83.12,80,100,16.11,ID,1611976001
Falmouth,50.15,-5.07,51.8,100,90,24.16,GB,1611976002
Koulikoro,14,-7.75,68.72,21,33,10.89,ML,1611976002
Bodden Town,19.28,-81.25,77,65,40,14.97,KY,1611976002
Vadinsk,53.69,43.06,31.35,98,100,18.97,RU,1611976003
Egvekinot,66.32,-179.17,-21.98,84,0,7.54,RU,1611976003
Jalu,29.03,21.55,53.83,71,0,9.86,LY,1611976003
Turkmenabat,39.07,63.58,53.6,22,0,16.11,TM,1611976004
Opuwo,-18.06,13.84,69.98,60,100,4.21,NA,1611976004
Manado,1.49,124.85,84.2,74,40,1.14,ID,1611976004
Badou,7.58,0.6,72.09,85,0,1.36,TG,1611976005
Humboldt,40.67,-123.92,48,76,90,9.22,US,1611976005
Whitianga,-36.83,175.7,67.28,47,14,11.07,NZ,1611976006
Laas,46.62,10.7,32,93,90,3.44,IT,1611976006
Xiongzhou,25.12,114.3,66.47,28,31,2.93,CN,1611976006
Brigantine,39.41,-74.36,23,45,1,13.8,US,1611976007
Gorom-Gorom,14.44,-0.24,68.36,21,48,10.69,BF,1611976007
Daşoguz,41.84,59.97,37.4,65,100,6.91,TM,1611976007
Gardendale,33.66,-86.81,39,70,40,2.57,US,1611976008
Verkhoyansk,67.54,133.38,-41.49,76,95,0.04,RU,1611976008
Nurota,40.56,65.69,46.4,31,100,20.71,UZ,1611976008
Santa Cruz de la Sierra,-17.8,-63.17,75.2,88,90,12.66,BO,1611976009
Kahului,20.89,-156.47,78.8,61,40,24.16,US,1611975763
Champerico,14.3,-91.92,66,89,37,6.44,GT,1611976010
Hauterive,46.09,3.45,46.4,76,90,13.8,FR,1611976010
Starodub,52.58,32.76,20.91,97,100,12.64,RU,1611976010
Lata,40.16,-8.33,57.99,100,100,10,PT,1611976011
Laja,-37.27,-72.7,57.2,100,90,5.75,CL,1611976011
Ibotirama,-12.19,-43.22,77.18,49,66,2.48,BR,1611975720
Nanga Eboko,4.68,12.37,66.16,93,99,2.44,CM,1611976012
Omsukchan,62.53,155.8,-26.81,82,100,7.18,RU,1611976012
São Gabriel da Cachoeira,-0.13,-67.09,77.25,78,95,0.81,BR,1611976012
Port Lincoln,-34.73,135.87,67.66,54,27,13.35,AU,1611976013
Coquimbo,-29.95,-71.34,62.6,82,20,5.75,CL,1611975796
Kazygurt,41.76,69.39,37.4,38,0,9.22,KZ,1611976014
Mékhé,15.11,-16.62,68,49,0,16.11,SN,1611976014
Swan River,52.11,-101.27,14,85,100,4.61,CA,1611975832
Caucaia,-3.74,-38.65,81,78,20,11.5,BR,1611976015
Kuala Pilah,2.74,102.25,84,78,20,9.22,MY,1611976015
Tondano,1.3,124.91,84.2,74,40,1.14,ID,1611976015
Pisco,-13.7,-76.22,71.6,73,0,6.91,PE,1611975871
Manavgat,36.79,31.44,44.01,56,0,3.44,TR,1611976016
Puerto Quijarro,-17.78,-57.77,75.78,83,100,2.59,BO,1611976016
Chumphon,10.33,98.83,84.2,70,20,5.75,TH,1611976017
Ubari,26.59,12.78,48.11,66,0,3.27,LY,1611976017
Makkah al Mukarramah,21.43,39.83,64.02,48,0,9.8,SA,1611976017
Aksarka,66.56,67.8,-40.29,79,62,4,RU,1611976018
Beyneu,45.32,55.2,31.87,97,52,5.12,KZ,1611976018
Santo Augusto,-27.85,-53.78,69.55,98,13,9.35,BR,1611976019
Yankton,42.87,-97.4,28.4,93,75,9.22,US,1611976006
Mwinilunga,-11.74,24.43,60.35,92,100,1.97,ZM,1611976019
Virginia Beach,36.85,-75.98,30.99,49,0,5.01,US,1611975914
Rawson,-43.3,-65.1,57.74,54,0,10.07,AR,1611976020
Kaeo,-35.1,173.78,71.01,64,50,5.99,NZ,1611976020
Raudeberg,61.99,5.14,33.01,90,69,24.02,NO,1611976021
Aklavik,68.22,-135.01,-27.4,68,82,2.3,CA,1611976021
Marsá Maţrūḩ,31.35,27.25,55.4,58,40,10.36,EG,1611976022
Plouzané,48.38,-4.62,51.8,100,90,24.16,FR,1611976022
Burns Lake,54.23,-125.75,10.4,85,100,2.68,CA,1611976023
Vila,42.03,-8.16,48.99,96,85,10.83,PT,1611976023
Tpig,41.78,47.59,28.44,79,100,3.51,RU,1611976023
Aleksandrovskoye,44.71,43,35.6,93,75,6.71,RU,1611976024
Bohodukhiv,50.16,35.53,26.6,80,75,13.42,UA,1611976024
Jiuquan,39.74,98.52,23.79,76,0,2.33,CN,1611976024
Saint-Joseph,-21.37,55.62,78.8,57,0,6.91,RE,1611976025
Griffith,41.53,-87.42,30.2,74,1,6.91,US,1611976025
Khilok,51.37,110.47,-4.22,87,100,2.08,RU,1611976026
Alta Gracia,-31.65,-64.43,72,90,25,3,AR,1611976026
Noumea,-22.28,166.46,86,51,0,20.71,NC,1611975953
Pandan,14.05,124.17,76.3,75,100,21.45,PH,1611976027
Igarka,67.47,86.58,-31.41,74,24,3.31,RU,1611976027
Kawalu,-7.38,108.21,80.22,71,100,2.17,ID,1611976028
Kendari,-3.94,122.5,84.81,67,100,4.63,ID,1611976028
Talara,-4.58,-81.27,75.27,79,44,14.29,PE,1611975969
Samarai,-10.62,150.67,84.04,74,100,7.11,PG,1611976029
Apomu,7.33,4.18,72.52,98,99,2.62,NG,1611976029
Richards Bay,-28.78,32.04,71.4,91,88,2.64,ZA,1611976029
Étaples,50.52,1.63,46.4,93,90,5.75,FR,1611976030
Saint Anthony,45.02,-93.22,25,58,90,10.36,US,1611976030
Preston,53.77,-2.72,37.99,87,100,13,GB,1611976031
Anadyr,64.75,177.48,-20,76,0,8.95,RU,1611976031
Moerdijk,51.7,4.63,37,83,100,5.01,NL,1611976031
Nioro,13.35,-15.75,69.31,20,0,4.63,GM,1611976032
Kathmandu,27.72,85.32,44.6,81,20,1.88,NP,1611975764
Zhezkazgan,47.8,67.71,13.73,93,100,12.37,KZ,1611976033
Galveston,29.37,-94.97,60.01,82,1,14.97,US,1611976033
Solnechnyy,50.72,136.63,-2.9,87,100,3.51,RU,1611976034
Lawrenceburg,38.04,-84.9,26.01,63,1,5.73,US,1611976034
Methala,10.22,76.22,77,83,100,3.44,IN,1611976034
Saint George,37.1,-113.58,39.99,93,90,9.22,US,1611976035
Xiongyue,40.18,122.12,16.2,86,0,16.11,CN,1611976035
Luan,46.36,6.98,44.01,100,75,5.28,CH,1611976035
Hutchinson,38.06,-97.93,46.99,66,1,17.27,US,1611975944
Blue Springs,39.02,-94.28,46.4,65,1,12.66,US,1611975900
Udimskiy,61.14,45.91,17.91,97,100,6.04,RU,1611976037
Itacurubí del Rosario,-24.5,-56.68,73.85,96,53,4.27,PY,1611976037
Charters Towers,-20.1,146.27,88.97,31,76,9.89,AU,1611976020
Três Lagoas,-20.75,-51.68,71.87,92,84,4.29,BR,1611976038
Antofagasta,-23.65,-70.4,66.2,77,0,10.36,CL,1611975791
